,Name,Usn,mail,mobile
396,gangadhar,1MS22AI080,gangadhar879@gmail.com,7378197204
397,ravi gupta,1MS21AL069,ravigupta123@outlook.com,9176889366
398,suraj,1MS22IS033,suraj582@gmail.com,7241642540
399,kaloo giri,1MS23EI033-T,kaloogiri950@gmail.com,8617508424
400,pramood,1MS22EI012,pramood844@gmail.com,8804535553
401,rakesh bhatia,1MS22CY083,rakeshbhatia577@yahoo.com,7241634129
402,nipun atnari,1MS21IS017,nipunatnari633@aol.com,9990597174
403,ct devesh kumar,1MS21AI051,ctdeveshkumar324@hotmail.com,8629235448
404,naveen,1MS21CS041,naveen380@gmail.com,7129125276
405,bhagirath sharma,1MS21AI081,bhagirathsharma849@gmail.com,9387939280
406,rakesh kumar,1MS22CI065,rakeshkumar996@outlook.com,9956997728
407,suwadhin shriwastava,1MS23CS050-T,suwadhinshriwastava695@gmail.com,8509423233
408,yogesh,1MS22AL066,yogesh706@yahoo.com,9522543761
409,subhash,1MS23CS014-T,subhash800@gmail.com,7821208332
410,naresh singh,1MS23CY039-T,nareshsingh674@gmail.com,9799292748
411,deepak,1MS22AI037,deepak617@outlook.com,8469454276
412,sehbaj khan,1MS23EC029-T,sehbajkhan649@gmail.com,8396530831
413,rishabh,1MS22CS083,rishabh764@gmail.com,8870379350
414,manoj kumar,1MS23EC013-T,manojkumar620@gmail.com,8841409132
415,sonu kumar,1MS22AI027,sonukumar174@gmail.com,8319876861
416,rohit,1MS23CI079-T,rohit904@gmail.com,9942467022
417,ashish kumar,1MS21CY066,ashishkumar891@gmail.com,8274666221
418,raja kumar,1MS22EI056,rajakumar187@gmail.com,7943531775
419,sanjeev,1MS22CS046,sanjeev656@gmail.com,7656298368
420,manish ( with daughter purwa 7 years ),1MS22CS015,manish(withdaughterpurwa7years)694@hotmail.com,7161466366
421,shayam sunder,1MS23CI068-T,shayamsunder407@hotmail.com,7592402079
422,ishwar singh,1MS22EI018,ishwarsingh747@gmail.com,7626470677
423,nitin,1MS21IS018,nitin475@gmail.com,7327220713
424,kamlesh,1MS23CI092-T,kamlesh878@outlook.com,9863766370
425,aijay jaiswal,1MS22AI056,aijayjaiswal622@gmail.com,9454511541
426,aru,1MS22CI045,aru942@gmail.com,7343693388
427,gaurav urf raheesh,1MS23CS043-T,gauravurfraheesh663@gmail.com,9657207905
428,shyam lal,1MS22AL039,shyamlal672@gmail.com,7745977394
429,anil kumar,1MS22CY015,anilkumar705@gmail.com,8503088571
430,sagar pal,1MS23CY079-T,sagarpal358@hotmail.com,8864508230
431,damodar prasad,1MS21EI055,damodarprasad999@gmail.com,7102339081
432,vijay ghimre,1MS23AL039-T,vijayghimre21@gmail.com,8779798274
433,raju,1MS22AL014,raju673@aol.com,9688318168
434,vasim,1MS22AL053,vasim845@gmail.com,9255692533
435,sorabh,1MS23IS066-T,sorabh10@yahoo.com,7135321909
436,vikram khatri,1MS23ME047-T,vikramkhatri715@gmail.com,7502703817
437,rohit ahlawat,1MS23AI078-T,rohitahlawat260@gmail.com,8231647140
438,kamrudeen,1MS22CI033,kamrudeen949@gmail.com,8236210584
439,mukesh,1MS23EI013-T,mukesh898@gmail.com,8873309247
440,shan mohd.,1MS21CS068,shanmohd.190@gmail.com,9597620053
441,pramod,1MS23AI063-T,pramod712@gmail.com,7330903212
442,naim,1MS22EC062,naim395@outlook.com,8202118779
443,manjeet singh,1MS21EI048,manjeetsingh321@gmail.com,9154819155
444,randhir,1MS22AL015,randhir492@outlook.com,9452344578
445,sachin singh,1MS22AL050,sachinsingh895@yahoo.com,8352379162
446,dinesh kumar,1MS21CY012,dineshkumar29@gmail.com,9007870896
447,parveen aggarwal,1MS23EC025-T,parveenaggarwal82@gmail.com,9422328712
448,riyasat,1MS21CY098,riyasat551@hotmail.com,7104104843
449,ajay,1MS23CI015-T,ajay532@yahoo.com,7559680203
450,jaynarayan  meena,1MS23CY062-T,jaynarayanmeena615@gmail.com,7278625087
451,saurabh ujjwal,1MS22CY093,saurabhujjwal468@yahoo.com,9018010209
452,chhitar mal,1MS23ME068-T,chhitarmal263@gmail.com,9729662085
453,pankaj,1MS22AL011,pankaj879@outlook.com,9137886689
454,satender,1MS22CY062,satender443@hotmail.com,8690819511
455,nan,1MS23EI020-T,nan967@gmail.com,7368131440
456,rahul,1MS23EI053-T,rahul794@gmail.com,7490257230
457,bhagwan singh,1MS22AI019,bhagwansingh490@outlook.com,8048999829
458,ajit singh,1MS23CI053-T,ajitsingh314@aol.com,9940728819
459,adarsh,1MS23AL010-T,adarsh394@aol.com,7288833674
460,manoj gupta,1MS22CS087,manojgupta282@gmail.com,9336914983
461,rinku,1MS23AI015-T,rinku925@outlook.com,8631925744
462,maryam,1MS21EI068,maryam26@outlook.com,9226254086
463,nagaji,1MS23EC017-T,nagaji534@gmail.com,8582533302
464,vipol,1MS23ME067-T,vipol493@outlook.com,7614015492
465,tameezuddin,1MS23CS084-T,tameezuddin827@gmail.com,7578728219
466,anikt kumar singh,1MS23IS023-T,aniktkumarsingh972@gmail.com,9630522449
467,bobby,1MS23IS063-T,bobby542@gmail.com,8586405116
468,ibarhim,1MS22EC012,ibarhim191@gmail.com,9146809008
469,rahul,1MS23EC040-T,rahul439@yahoo.com,8091089414
470,mohd kaim,1MS23EC085-T,mohdkaim159@gmail.com,9896176471
471,anooj patava,1MS22EI016,anoojpatava198@gmail.com,8483160004
472,sahjad,1MS22AL099,sahjad120@gmail.com,9719693920
473,sishpal,1MS22EI060,sishpal976@gmail.com,9521220360
474,heera singh,1MS22CY058,heerasingh888@gmail.com,9452831787
475,ankit,1MS23AL098-T,ankit298@gmail.com,9858385179
476,rajat kumar,1MS23CI013-T,rajatkumar707@hotmail.com,7376265088
477,shail,1MS23IS012-T,shail822@gmail.com,9389905671
478,surender,1MS23AI063-T,surender742@gmail.com,9584803883
479,ajay,1MS22EI011,ajay661@gmail.com,7239216885
480,munajir alam,1MS23CS092-T,munajiralam479@gmail.com,9849651082
481,vijay rath0r,1MS21AI058,vijayrath0r302@gmail.com,7250103122
482,amir,1MS22IS045,amir507@hotmail.com,7283180046
483,sumit raghav,1MS23CY041-T,sumitraghav638@gmail.com,9466508060
484,ravi,1MS22CY060,ravi642@gmail.com,9179195162
485,manoj kumar,1MS23CS088-T,manojkumar992@gmail.com,9589981162
486,anil kumar,1MS23AL080-T,anilkumar716@gmail.com,9977432003
487,yogesh rawat,1MS21CI096,yogeshrawat86@gmail.com,8174465402
488,ramesh kumar,1MS22AL090,rameshkumar342@outlook.com,7357897192
489,mukesh kumar,1MS23EC043-T,mukeshkumar540@outlook.com,9387558484
490,ridhakaran sharma,1MS21CY064,ridhakaransharma768@aol.com,7055286776
491,mohd. nafees,1MS23EC027-T,mohd.nafees770@outlook.com,8240628592
492,raju rathor,1MS22CY027,rajurathor556@aol.com,7376370418
493,ritesh,1MS23CI060-T,ritesh70@gmail.com,8345923300
494,sonu,1MS23AI045-T,sonu153@gmail.com,7187051127
495,maatwar singh,1MS21EC089,maatwarsingh55@gmail.com,9795367864
496,vicky,1MS23AI037-T,vicky762@outlook.com,7426285947
497,nitin chahal,1MS23CI029-T,nitinchahal953@gmail.com,8463327095
498,rakesh,1MS23CI048-T,rakesh257@hotmail.com,8771361516
499,subhash chand,1MS23CY060-T,subhashchand42@yahoo.com,8824861890
